singles-GM12878rep2-140904-14	singles-GM12878rep2-140904-16	singles-GM12878rep2-140904-18	singles-GM12878rep2-140904-31	singles-GM12878rep2-140904-32	singles-GM12878rep2-140904-36	singles-GM12878rep2-140904-50	singles-GM12878rep2-140904-52	singles-GM12878rep2-140904-59	singles-GM12878rep2-140904-67	singles-GM12878rep2-140904-69	singles-GM12878rep2-140904-74	singles-GM12878rep2-140904-82	singles-GM12878rep2-140904-85	singles-GM12878rep2-140904-92	singles-GM12878rep2-140904-93	singles-GM12878rep2-140904-94
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
